# main x,main y,main z,head x,head y,head z,tail x,tail y,tail z
0.000,0.000,1.195,0.000,1.312,0.828,0.000,-1.612,0.730
-0.000,0.000,1.194,0.000,1.312,0.827,0.000,-1.612,0.729
0.001,0.001,1.192,0.000,1.313,0.827,-0.000,-1.611,0.726
0.002,0.001,1.191,0.000,1.314,0.829,-0.000,-1.609,0.722
0.002,0.001,1.191,0.000,1.315,0.834,-0.000,-1.608,0.716
0.003,0.000,1.193,-0.000,1.317,0.842,-0.000,-1.606,0.708
0.003,-0.001,1.195,-0.000,1.318,0.854,-0.000,-1.603,0.699
0.003,-0.002,1.198,-0.000,1.319,0.868,-0.000,-1.601,0.689
0.003,-0.004,1.201,-0.000,1.321,0.884,-0.000,-1.598,0.677
0.003,-0.006,1.204,-0.001,1.322,0.900,-0.000,-1.594,0.664
0.003,-0.008,1.207,-0.001,1.323,0.917,-0.000,-1.591,0.650
0.003,-0.010,1.209,-0.001,1.324,0.933,-0.000,-1.587,0.635
0.002,-0.013,1.210,-0.001,1.324,0.948,-0.000,-1.583,0.619
0.002,-0.015,1.210,-0.001,1.325,0.963,-0.000,-1.578,0.602
0.002,-0.017,1.208,-0.001,1.326,0.976,-0.000,-1.574,0.584
0.002,-0.019,1.206,-0.001,1.326,0.989,-0.000,-1.569,0.565
0.002,-0.021,1.203,-0.001,1.326,1.001,-0.001,-1.564,0.545
0.002,-0.024,1.199,-0.001,1.326,1.011,-0.001,-1.559,0.524
0.002,-0.026,1.194,-0.001,1.325,1.021,-0.002,-1.554,0.502
0.002,-0.025,1.196,-0.001,1.326,1.021,-0.002,-1.554,0.506
0.002,-0.023,1.198,-0.002,1.327,1.021,-0.002,-1.553,0.509
0.002,-0.023,1.200,-0.002,1.328,1.022,-0.001,-1.553,0.512
0.002,-0.022,1.202,-0.002,1.328,1.024,-0.001,-1.552,0.514
0.002,-0.023,1.204,-0.002,1.328,1.027,-0.001,-1.552,0.516
0.003,-0.023,1.207,-0.002,1.328,1.031,-0.001,-1.552,0.517
0.003,-0.024,1.209,-0.002,1.327,1.034,-0.001,-1.553,0.519
0.003,-0.024,1.212,-0.003,1.327,1.038,-0.000,-1.553,0.520
0.003,-0.026,1.214,-0.003,1.326,1.042,-0.001,-1.553,0.521
0.003,-0.027,1.217,-0.003,1.325,1.045,-0.001,-1.554,0.522
0.003,-0.028,1.219,-0.002,1.324,1.048,-0.001,-1.555,0.523
0.003,-0.029,1.220,-0.002,1.323,1.051,-0.002,-1.555,0.523
0.003,-0.029,1.221,-0.001,1.322,1.053,-0.002,-1.555,0.524
0.003,-0.030,1.222,-0.001,1.322,1.054,-0.002,-1.555,0.524
0.003,-0.030,1.223,-0.001,1.322,1.055,-0.001,-1.555,0.524
0.004,-0.030,1.223,-0.001,1.322,1.055,-0.001,-1.555,0.524
0.004,-0.030,1.223,-0.001,1.322,1.055,-0.001,-1.555,0.525
0.004,-0.030,1.223,-0.000,1.322,1.054,-0.001,-1.555,0.525
0.005,-0.030,1.222,-0.000,1.322,1.054,-0.001,-1.555,0.525
